;D1_S02_1L-s_R01;D1_S02_1L-s_R02;D1_S02_1L-s_R03;D1_S02_10L-s_R01;D1_S02_2.5L-s_R01.1;D1_S02_2.5L-s_R01.2;D1_S02_2.5L-s_R01.3;D1_S02_2.5L-s_R01.4;D1_S02_10L-s_R02;D1_S02_10L-s_R03;D1_S02_10L-m_R01;D1_S02_10L-m_R02;D1_S02_10L-m_R03;D1_S20_30L-m_R123;D1_S023_10L-m_R01;D1_S023_10L-m_R02;D1_S023_10L-m_R03;D1_S320_10L-m_R01;D1_S320_10L-m_R02;D1_S320_10L-m_R03;D1_S20_120L-m_R01;D1_S20_100L-m_R02;D1_S20_60L-m_R03;D1_S023_60L-m_R01;D1_S023_100L-m_R02;D1_S023_60L-m_R03;D1_S320_60L-m_R01;D1_S320_100L-m_R02;D1_S320_60L-m_R03;D1_S20_496L-m_R00;D1_S20_100L-m_R01;D1_S20_100L-m_R02;D1_S20_100L-m_R03;D1_S023_496L-m_R00;D1_S023_100L-m_R01;D1_S023_100L-m_R02;D1_S023_100L-m_R03;D1_S320_496L-m_R00;D1_S320_100L-m_R01;D1_S320_100L-m_R02;D1_S320_100L-m_R03;D2_S20_1000L-m_R00;D2_S20_100L-m_R11;D2_S023_1000L-m_R00;D2_S023_100L-m_R11;D2_S320_1000L-m_R00;D2_S320_100L-m_R11;D1_S20_776L-m_R00;D1_S023_716L-m_R00;D1_S320_716L-m_R00
D1_S20_100L-m_R03;0.870747;0.874933;0.864921;0.867915;0.867960;0.874320;0.872921;0.871817;0.868834;0.865586;0.842694;0.815577;0.883597;0.729915;0.887939;0.891839;0.873582;0.899674;0.900064;0.918259;0.689109;0.687788;0.727219;0.888121;0.894076;0.893636;0.844532;0.864762;0.845884;0.681878;0.687235;0.729066;0.000000;0.893586;0.889389;0.893979;0.897088;0.859529;0.857669;0.853553;0.845174;0.719557;0.716496;0.901177;0.900245;0.865767;0.858870;0.695489;0.896269;0.855206
D1_S023_496L-m_R00;0.503636;0.464486;0.518753;0.490922;0.570994;0.450855;0.553328;0.491951;0.533920;0.501273;0.707656;0.619478;0.428637;0.974879;0.389018;0.504542;0.587425;0.927181;0.942236;0.966265;0.897414;0.955123;0.984319;0.399076;0.377466;0.368467;0.662087;0.767625;0.714884;0.938927;0.955293;0.969773;0.893586;0.000000;0.385231;0.374891;0.369520;0.720273;0.753122;0.793591;0.636663;0.973937;0.968467;0.443825;0.408451;0.856673;0.805058;0.940460;0.394254;0.707011
D1_S023_100L-m_R01;0.504558;0.467453;0.517178;0.488984;0.566462;0.453081;0.550262;0.491259;0.532647;0.500521;0.703934;0.615142;0.435068;0.972887;0.391770;0.502142;0.587234;0.923206;0.937848;0.962775;0.892614;0.952283;0.983071;0.407895;0.393736;0.384506;0.652114;0.761049;0.705599;0.935688;0.952580;0.967274;0.889389;0.385231;0.000000;0.389690;0.387521;0.713754;0.746353;0.787269;0.627286;0.972227;0.966161;0.461899;0.426501;0.851287;0.798585;0.937257;0.408606;0.699649
D1_S023_100L-m_R02;0.495800;0.454912;0.513345;0.487709;0.569307;0.444628;0.551439;0.486963;0.532015;0.498718;0.704082;0.615794;0.418201;0.975571;0.379772;0.501851;0.581961;0.927652;0.943968;0.968207;0.897940;0.955829;0.984487;0.392101;0.369076;0.357222;0.664079;0.768737;0.717017;0.939546;0.955723;0.970693;0.893979;0.374891;0.389690;0.000000;0.359387;0.720695;0.754217;0.794315;0.636983;0.974376;0.969302;0.433962;0.397860;0.857813;0.806147;0.941148;0.388749;0.707974
D1_S023_100L-m_R03;0.493219;0.450829;0.512254;0.487485;0.570477;0.441808;0.551050;0.485404;0.533483;0.500264;0.705610;0.616655;0.411757;0.976060;0.381637;0.508278;0.578794;0.930956;0.946483;0.969278;0.900568;0.957613;0.985080;0.383469;0.358183;0.350515;0.669338;0.771830;0.720831;0.941404;0.957565;0.971634;0.897088;0.369520;0.387521;0.359387;0.000000;0.723226;0.757098;0.795759;0.639665;0.974760;0.969600;0.424283;0.387559;0.858251;0.806835;0.943086;0.383772;0.711636
D1_S320_496L-m_R00;0.702697;0.702284;0.690905;0.693158;0.701143;0.701670;0.710253;0.700030;0.715434;0.704930;0.727536;0.701521;0.708937;0.955863;0.710132;0.724950;0.709917;0.833262;0.844218;0.866008;0.862508;0.921747;0.966939;0.710261;0.720998;0.718387;0.669821;0.733100;0.692850;0.907354;0.924250;0.940862;0.859529;0.720273;0.713754;0.720695;0.723226;0.000000;0.710130;0.716807;0.657095;0.955688;0.948513;0.739454;0.730013;0.769098;0.735025;0.905346;0.727884;0.693009
D1_S320_100L-m_R01;0.731530;0.732515;0.719777;0.722879;0.727094;0.732566;0.737462;0.729361;0.742597;0.733912;0.742685;0.724036;0.741370;0.952674;0.743716;0.755353;0.734904;0.825998;0.840027;0.857259;0.859788;0.917572;0.963554;0.744674;0.754823;0.753020;0.683994;0.739484;0.700872;0.903672;0.919844;0.936974;0.857669;0.753122;0.746353;0.754217;0.757098;0.710130;0.000000;0.716766;0.675048;0.952693;0.945520;0.772551;0.764970;0.765508;0.736769;0.901456;0.760504;0.703819
D1_S320_100L-m_R02;0.759125;0.762172;0.745977;0.752289;0.752243;0.764252;0.762904;0.758515;0.771302;0.763755;0.755380;0.745329;0.774463;0.952882;0.785328;0.790555;0.754608;0.816902;0.822301;0.847088;0.852612;0.914313;0.964591;0.779816;0.792408;0.791096;0.694110;0.739515;0.703357;0.899527;0.916778;0.933972;0.853553;0.793591;0.787269;0.794315;0.795759;0.716807;0.716766;0.000000;0.685060;0.952618;0.944137;0.805812;0.800613;0.747655;0.724597;0.897756;0.798643;0.712814
D1_S320_100L-m_R03;0.624979;0.618784;0.613634;0.616605;0.632222;0.622430;0.640711;0.622600;0.650443;0.634442;0.677996;0.632474;0.622697;0.952750;0.621913;0.650501;0.640497;0.828571;0.838266;0.870521;0.843664;0.917166;0.966703;0.625998;0.640556;0.636593;0.607573;0.699984;0.639177;0.898929;0.919661;0.936753;0.845174;0.636663;0.627286;0.636983;0.639665;0.657095;0.675048;0.685060;0.000000;0.952372;0.943166;0.670749;0.652031;0.746187;0.700084;0.899158;0.651665;0.646674
D2_S20_1000L-m_R00;0.960590;0.963463;0.958740;0.961435;0.961506;0.963453;0.961012;0.961996;0.955583;0.954840;0.926961;0.898812;0.970007;0.691305;0.974494;0.975192;0.962020;0.961502;0.958225;0.963229;0.720681;0.675374;0.656321;0.972955;0.974555;0.975330;0.955734;0.959520;0.952406;0.672513;0.653741;0.702202;0.719557;0.973937;0.972227;0.974376;0.974760;0.955688;0.952693;0.952618;0.952372;0.000000;0.529663;0.972439;0.974207;0.938088;0.940091;0.690957;0.975543;0.955601
